codice_appartamento,tipologia_appartamento,heating,electricity_consumption,insulation,piano,production
Mi_Br_VB_001_1_01,Commerciale,0,0,0,1,0
Mi_Br_VB_001_1_02,Commerciale,0,0,0,1,0
Mi_Br_VB_001_2_01,Commerciale,0,0,0,2,0
Mi_Br_VB_001_2_02,Commerciale,0,0,0,2,0
Mi_Br_VB_001_3_01,Residenziale,157.60005645952447,338.70134315784384,45.661156152318505,3,0
Mi_Br_VB_001_3_02,Residenziale,139.7826429589083,355.46618446394416,22.067865359297723,3,0
Mi_Br_VB_001_condominio_00,Condominiale,0,0,0,0,"[100, 29, 55, 96, 60, 95, 12, 45, 29, 12, 49, 34, 32, 48, 24, 84, 65, 21, 14, 31, 52, 13, 37, 57, 59, 70, 66, 61, 15, 31, 57, 62, 98, 9, 11, 69, 25, 83, 3, 79, 90, 3, 6, 54, 67, 53, 26, 2, 44, 91, 51, 81, 2, 98, 87, 14, 75, 72, 46, 79, 56, 9, 23, 70, 55, 87, 37, 56, 21, 57, 21, 31, 14, 13, 51, 25, 92, 19, 18, 99, 35, 48, 79, 54, 99, 86, 36, 87, 45, 81, 75, 29, 50, 49, 73, 12, 6, 57, 5, 95, 10, 68, 31, 50, 31, 67, 38, 98, 19, 6, 28, 61, 41, 94, 76, 75, 49, 38, 42, 83, 55, 92, 4, 48, 8, 16, 81, 93, 5, 26, 11, 23, 73, 91, 29, 72, 59, 69, 55, 73, 67, 17, 97, 5, 13, 37, 99, 20, 86, 22, 29, 1, 33, 37, 21, 7, 39, 9, 83, 91, 41, 19, 27, 58, 29, 46, 6, 55, 46, 8, 46, 51, 37, 98, 4, 11, 9, 58, 43, 38, 79, 97, 32, 40, 33, 80, 26, 51, 31, 82, 57, 89, 99, 32, 4, 53, 54, 82, 69, 88, 99, 35, 73, 72, 5, 43, 52, 93, 53, 16, 14, 78, 62, 3, 1, 57, 91, 53, 62, 78, 30, 63, 90, 31, 79, 7, 31, 83, 37, 92, 29, 6, 92, 48, 55, 22, 82, 61, 75, 18, 23, 65, 35, 26, 61, 45, 61, 8, 1, 52, 29, 87, 7, 3, 90, 68, 35, 49, 31, 57, 40, 4, 98, 1, 84, 81, 30, 93, 61, 41, 9, 100, 72, 54, 63, 49, 63, 14, 80, 45, 96, 23, 18, 57, 89, 4, 7, 31, 17, 49, 47, 74, 35, 60, 25, 69, 20, 20, 19, 99, 19, 5, 20, 78, 38, 39, 89, 50, 73, 24, 89, 96, 45, 30, 9, 6, 64, 64, 46, 80, 28, 77, 72, 97, 74, 75, 38, 18, 60, 21, 33, 56, 100, 31, 98, 35, 96, 25, 33, 16, 77, 37, 72, 18, 24, 47, 11, 9, 16, 46, 24, 15, 70, 97, 90, 38, 43, 17, 70, 19, 52, 97, 89, 73, 48]"
Mi_Br_VB_002_1_01,Residenziale,94.258726144169,223.9076486089644,21.364975762682526,1,0
Mi_Br_VB_002_1_02,Residenziale,65.18448035017929,353.76959707285266,28.249854198697847,1,0
Mi_Br_VB_002_2_01,Residenziale,188.83978388359475,237.82562646819107,42.29271038105234,2,0
Mi_Br_VB_002_2_02,Residenziale,100.37718783531892,224.26001181204714,15.068911783963546,2,0
